feature,alpha,math_margin_mean,code_valid_rate,latex_valid_rate,latex_first_rate
code_feature,-4.0,39.93589743589744,0.23076923076923078,0.9487179487179487,1.0
code_feature,-3.5,40.01282051282051,0.20512820512820512,0.9487179487179487,1.0
code_feature,-3.0,40.01923076923077,0.20512820512820512,0.9487179487179487,1.0
code_feature,-2.5,40.05128205128205,0.20512820512820512,0.9487179487179487,1.0
code_feature,-2.0,40.07051282051282,0.20512820512820512,0.9487179487179487,1.0
code_feature,-1.5,40.1025641025641,0.20512820512820512,0.9487179487179487,1.0
code_feature,-1.0,40.07692307692308,0.1794871794871795,0.9487179487179487,1.0
code_feature,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,1.0
code_feature,1.0,40.17948717948718,0.1794871794871795,0.9487179487179487,1.0
random_control,-4.0,39.01282051282051,0.15384615384615385,0.9487179487179487,
random_control,-3.5,39.19230769230769,0.15384615384615385,0.9487179487179487,
random_control,-3.0,39.39102564102564,0.15384615384615385,0.9487179487179487,
random_control,-2.5,39.48717948717949,0.1794871794871795,0.9487179487179487,
random_control,-2.0,39.67948717948718,0.1794871794871795,0.9487179487179487,
random_control,-1.5,39.66025641025641,0.1794871794871795,0.9487179487179487,
random_control,-1.0,39.94230769230769,0.1794871794871795,0.9487179487179487,
random_control,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,
random_control,1.0,40.416666666666664,0.1794871794871795,0.9487179487179487,
